normalized_claim_id,domain,company,claim_summary,metric_value,period_or_date,source_tier,confidence_score,source_url
T023,Company,MNTN,"MNTN reported active customer growth (company KPI).",63% YoY,2025 year-end,B,Medium,https://www.nasdaq.com/press-release/mntn-reports-record-fourth-quarter-and-full-year-2025-results-2026-02-10
T024,Company,MNTN,"MNTN announced MNTN Matched.",Product launch,2024-06-12,B,Medium,https://www.businesswire.com/news/home/20240612119611/en/MNTN-Introduces-MNTN-Matched-AI-Powered-Precision-Audience-Targeting-Bringing-6x-More-Visits-and-2x-More-Revenue-Generated-by-TV-Advertising
T025,Company,MNTN,"MNTN announced QuickFrame AI expansion.",Product update,2026-01-28,B,Medium,https://www.nasdaq.com/press-release/mntns-latest-innovation-quickframe-ai-scales-rapidly-new-ai-video-features-including
T026,Company,Tatari,"Tatari announced major convergent TV platform redesign.",Platform redesign,2025-09-04,B,Medium,https://www.globenewswire.com/news-release/2025/09/04/3144769/0/en/Tatari-Redesigns-TV-Advertising-With-Major-Platform-Update-to-Simplify-Convergent-TV.html
T027,Company,Tatari,"Tatari describes convergent TV across linear and streaming.",Convergent TV positioning,2025-09-04,B,Medium,https://www.globenewswire.com/news-release/2025/09/04/3144769/0/en/Tatari-Redesigns-TV-Advertising-With-Major-Platform-Update-to-Simplify-Convergent-TV.html
T028,Company,Tatari,"TheViewPoint rebranded to Upstream and launched direct-sales automation.",Launch announcement,2026-02-19,B,Medium,https://www.globenewswire.com/news-release/2026/02/19/3241147/0/en/TheViewPoint-rebrands-to-Upstream-Launches-Direct-Sales-Automation-Platform-for-CTV-Publishers.html
T029,Company,Tatari,"Tatari insight claims support for 400+ brands.",400+ brands,2026,B,Low,https://www.tatari.tv/insights/moving-upstream-why-buying-ctv-directly-just-got-exponentially-better
T030,Company,Tatari,"Tatari claims direct CTV buying is becoming easier.",Strategic thesis,2026,B,Low,https://www.tatari.tv/insights/moving-upstream-why-buying-ctv-directly-just-got-exponentially-better
T031,Company,Vibe,"Vibe announced Series B.",$50M,2025-09-30,B,Medium,https://www.globenewswire.com/news-release/2025/09/30/3158376/0/en/Vibe-co-Raises-50M-Series-B-to-Bring-AI-Powered-Hyper-Targeted-Advertising-to-TV.html
T032,Company,Vibe,"Vibe stated valuation.",$410M,2025-09-30,B,Low,https://www.globenewswire.com/news-release/2025/09/30/3158376/0/en/Vibe-co-Raises-50M-Series-B-to-Bring-AI-Powered-Hyper-Targeted-Advertising-to-TV.html
T033,Company,Vibe,"Vibe stated annualized run rate.",">$100M",2025-09-30,B,Low,https://www.globenewswire.com/news-release/2025/09/30/3158376/0/en/Vibe-co-Raises-50M-Series-B-to-Bring-AI-Powered-Hyper-Targeted-Advertising-to-TV.html
T034,Company,Vibe,"Vibe stated cumulative impression scale.",">500B impressions",2025-09-30,B,Low,https://www.globenewswire.com/news-release/2025/09/30/3158376/0/en/Vibe-co-Raises-50M-Series-B-to-Bring-AI-Powered-Hyper-Targeted-Advertising-to-TV.html
T035,Company,Vibe,"Vibe stated campaign count.",">200000 campaigns",2025-09-30,B,Low,https://www.globenewswire.com/news-release/2025/09/30/3158376/0/en/Vibe-co-Raises-50M-Series-B-to-Bring-AI-Powered-Hyper-Targeted-Advertising-to-TV.html
T036,Company,tvScientific/Pinterest,"Pinterest announced intent to acquire tvScientific.",Acquisition announced,2025,B,High,https://investor.pinterestinc.com/news-and-events/press-releases/press-releases-details/2025/Pinterest-to-Acquire-tvScientific-Expanding-Performance-Advertising-to-Connected-TV/default.aspx
T037,Company,tvScientific/Pinterest,"Pinterest release cited monthly active users.",600M+ MAUs,2025,B,Medium,https://investor.pinterestinc.com/news-and-events/press-releases/press-releases-details/2025/Pinterest-to-Acquire-tvScientific-Expanding-Performance-Advertising-to-Connected-TV/default.aspx
T038,Company,tvScientific/Pinterest,"SEC filing disclosed close of tvScientific deal.",Closed 2026-02-17,2026-02-17,A,High,https://www.sec.gov/Archives/edgar/data/1506293/000150629326000026/pins-20260217.htm
T039,Company,tvScientific/Pinterest,"SEC filing included Pinterest Q1 revenue guidance update.",$958M-$978M,Q1 2026 guidance,A,High,https://www.sec.gov/Archives/edgar/data/1506293/000150629326000026/pins-20260217.htm
T040,Company,Viant,"Viant reported Q3 2025 revenue.",$95.1M,Q3 2025,A,High,https://www.viantinc.com/company/news/press-releases/viant-technology-announces-third-quarter-2025-financial-results/
T041,Company,Viant,"Viant reported Q3 revenue growth.",32% YoY,Q3 2025,A,High,https://www.viantinc.com/company/news/press-releases/viant-technology-announces-third-quarter-2025-financial-results/
T042,Company,Viant,"Viant reported CTV share of ad spend.",46%,Q3 2025,A,Medium,https://www.viantinc.com/company/news/press-releases/viant-technology-announces-third-quarter-2025-financial-results/
T043,Company,Viant,"Viant reported CTV ad spend growth.",45% YoY,Q3 2025,A,Medium,https://www.viantinc.com/company/news/press-releases/viant-technology-announces-third-quarter-2025-financial-results/
T044,Company,Viant,"Viant launched ViantAI.",Product launch,2025-10-07,B,Medium,https://www.viantinc.com/company/news/press-releases/viant-technology-debuts-viantai-signaling-a-new-era-in-programmatic-advertising/
T045,Company,Viant,"Viant expanded direct CTV access via Magnite SpringServe.",Integration announcement,2025-08-20,B,Medium,https://www.viantinc.com/company/news/press-releases/viant-expands-direct-access-in-ctv-with-magnite-springserve-integration/
T046,Company,The Trade Desk,"TTD reported Q4 2025 revenue.",$741M,Q4 2025,A,High,https://www.thetradedesk.com/press-room/the-trade-desk-reports-fourth-quarter-and-fiscal-year-2025-financial-results
T047,Company,The Trade Desk,"TTD reported FY2025 revenue.",$2.44B,FY2025,A,High,https://www.thetradedesk.com/press-room/the-trade-desk-reports-fourth-quarter-and-fiscal-year-2025-financial-results
T048,Company,The Trade Desk,"TTD reported FY2025 adjusted EBITDA.",$1.01B,FY2025,A,Medium,https://www.thetradedesk.com/press-room/the-trade-desk-reports-fourth-quarter-and-fiscal-year-2025-financial-results
T049,Company,The Trade Desk,"TTD FY2025 10-K filed.",Form 10-K filed,2026-02,A,High,https://www.sec.gov/Archives/edgar/data/1671933/000167193326000013/ttd-20251231.htm
T050,Company,Market,"IAB reports cross-platform audience measurement priority among buyers.",72%,2026 outlook,B,Medium,https://www.iab.com/news/outlook-study-forecasts-9-5-growth-in-u-s-ad-spend/
