claim_id,claim_text,metric_value,period_or_date,source_url,source_date,source_tier,confidence_score,notes_on_limitations
C019,"Nielsen reported broadcast share.","20.1%","May 2025","https://www.nielsen.com/news-center/2025/streaming-reaches-historic-tv-milestone-eclipses-combined-broadcast-and-cable-viewing-for-first-time/","2025-06","B","High","Gauge methodology and definitions apply."
C020,"Nielsen reported cable share.","24.1%","May 2025","https://www.nielsen.com/news-center/2025/streaming-reaches-historic-tv-milestone-eclipses-combined-broadcast-and-cable-viewing-for-first-time/","2025-06","B","High","Gauge methodology and definitions apply."
C021,"Nielsen reported streaming usage growth versus May 2021.","71% increase","May 2021 to May 2025","https://www.nielsen.com/news-center/2025/streaming-reaches-historic-tv-milestone-eclipses-combined-broadcast-and-cable-viewing-for-first-time/","2025-06","B","Medium","Long-range comparison may reflect methodology and platform mix shifts."
C022,"Nielsen reported combined share for Pluto TV, Roku Channel, and Tubi.","5.7%","May 2025","https://www.nielsen.com/news-center/2025/streaming-reaches-historic-tv-milestone-eclipses-combined-broadcast-and-cable-viewing-for-first-time/","2025-06","B","Medium","Platform grouping can change over time."
C023,"Nielsen reported streaming share reached a new high.","47.5%","Dec 2025","https://www.nielsen.com/pt-br/news-center/2026/streaming-shatters-multiple-records-in-december-2025-with-47-5-of-tv-viewing-according-to-nielsens-the-gauge/","2026-01","B","High","Gauge methodology is panel/model-based."
C024,"Nielsen reported broadcast share in December.","21.4%","Dec 2025","https://www.nielsen.com/pt-br/news-center/2026/streaming-shatters-multiple-records-in-december-2025-with-47-5-of-tv-viewing-according-to-nielsens-the-gauge/","2026-01","B","High","Gauge methodology and definitions apply."
C025,"Nielsen reported cable share in December.","20.2%","Dec 2025","https://www.nielsen.com/pt-br/news-center/2026/streaming-shatters-multiple-records-in-december-2025-with-47-5-of-tv-viewing-according-to-nielsens-the-gauge/","2026-01","B","High","Gauge methodology and definitions apply."
C026,"Nielsen reported Netflix share of TV usage.","9.0%","Dec 2025","https://www.nielsen.com/pt-br/news-center/2026/streaming-shatters-multiple-records-in-december-2025-with-47-5-of-tv-viewing-according-to-nielsens-the-gauge/","2026-01","B","Medium","Service-level shares are month-specific and seasonally sensitive."
C027,"Nielsen reported Prime Video share of TV usage.","4.3%","Dec 2025","https://www.nielsen.com/pt-br/news-center/2026/streaming-shatters-multiple-records-in-december-2025-with-47-5-of-tv-viewing-according-to-nielsens-the-gauge/","2026-01","B","Medium","Service-level shares are month-specific and seasonally sensitive."
C028,"Nielsen reported ad-supported content share of total TV viewing.","72.9%","Q3 2025","https://www.nielsen.com/news-center/2025/ad-supported-content-accounts-for-72-9-of-tv/","2025-Q4","B","Medium","Quarterly aggregate; methodology and inventory definitions apply."
C029,"Nielsen reported peak ad-supported content share.","74.7%","September 2025","https://www.nielsen.com/news-center/2025/ad-supported-content-accounts-for-72-9-of-tv/","2025-Q4","B","Medium","Single-month peak may not represent annual average."
C030,"Nielsen reported ad-supported viewing mix by platform.","Streaming 46.4%; Cable 27.2%; Broadcast 26.4%","Q3 2025","https://www.nielsen.com/news-center/2025/ad-supported-content-accounts-for-72-9-of-tv/","2025-Q4","B","Medium","Mix values are time-bound and depend on Nielsen category definitions."
C031,"IAB CAPI guide reports roughly two-thirds of advertisers saw improved ROAS after implementing CAPI.","~66%","2025 survey","https://www.iab.com/insights/state-of-capi-guide-for-marketers-and-media-owners/","2025","B","Medium","Survey-based and self-reported performance impact."
C032,"IAB CAPI guide reports roughly three-quarters of advertisers would reallocate spend based on CAPI conversion insights.","~75%","2025 survey","https://www.iab.com/insights/state-of-capi-guide-for-marketers-and-media-owners/","2025","B","Medium","Intent-to-reallocate may differ from observed budget behavior."
C033,"IAB CAPI guide reports enrichment of audience targeting signals.","92%","2025 survey","https://www.iab.com/insights/state-of-capi-guide-for-marketers-and-media-owners/","2025","B","Medium","Survey response measure, not an independent performance audit."
C034,"IAB CAPI guide identifies technical complexity as a major publisher/media-owner barrier.","72%","2025 survey","https://www.iab.com/insights/state-of-capi-guide-for-marketers-and-media-owners/","2025","B","Medium","Self-reported implementation barrier."
C035,"IAB CAPI guide identifies compliance/privacy as a major publisher/media-owner barrier.","61%","2025 survey","https://www.iab.com/insights/state-of-capi-guide-for-marketers-and-media-owners/","2025","B","Medium","Self-reported implementation barrier."
C036,"IAB Tech Lab's CTV Ad Portfolio defines six core CTV ad formats.","6 formats","2026 comment period","https://iabtechlab.com/standards/ctv-programmatic-guide/","2026-01","B","High","Standards effort reflects taxonomy guidance, not spend outcomes."
C037,"MNTN reported full-year revenue in its 2025 Form 10-K.","$290.093M","FY 2025","https://www.sec.gov/Archives/edgar/data/1891027/000189102726000019/mntn-20251231.htm","2026-02","A","High","SEC filing data."
C038,"MNTN reported cash and cash equivalents and no borrowings outstanding.","$210.204M cash; no borrowings","FY 2025","https://www.sec.gov/Archives/edgar/data/1891027/000189102726000019/mntn-20251231.htm","2026-02","A","High","SEC filing data."
C039,"MNTN reported narrower net loss year over year.","$6.426M loss vs $32.877M prior year","FY 2025 vs FY 2024","https://www.sec.gov/Archives/edgar/data/1891027/000189102726000019/mntn-20251231.htm","2026-02","A","High","SEC filing data."
C040,"Viant stated CTV represented nearly half of ad spend.","46% of total ad spend","Q3 2025","https://www.viantinc.com/company/news/press-releases/viant-technology-announces-third-quarter-2025-financial-results/","2025-11","A","Medium","Company-reported metric from investor release."
C041,"Viant stated CTV ad spend growth.","45% YoY","Q3 2025","https://www.viantinc.com/company/news/press-releases/viant-technology-announces-third-quarter-2025-financial-results/","2025-11","A","Medium","Company-reported metric from investor release."
C042,"Pinterest announced agreement to acquire tvScientific and cited large user scale.","600M+ monthly active users (Pinterest claim)","Announcement in 2025","https://investor.pinterestinc.com/news-and-events/press-releases/press-releases-details/2025/Pinterest-to-Acquire-tvScientific-Expanding-Performance-Advertising-to-Connected-TV/default.aspx","2025","B","Medium","MAU and strategic rationale are company-reported."
C043,"Pinterest disclosed closing of tvScientific transaction and updated guidance.","Closed Feb 17, 2026; Q1 2026 revenue guidance $958M-$978M","2026-02-17","https://www.sec.gov/Archives/edgar/data/1506293/000150629326000026/pins-20260217.htm","2026-02-17","A","High","SEC 8-K disclosure."
C044,"Tatari announced a major platform redesign to simplify convergent TV buying.","Major platform update (feature launch)","2025-09-04","https://www.globenewswire.com/news-release/2025/09/04/3144769/0/en/Tatari-Redesigns-TV-Advertising-With-Major-Platform-Update-to-Simplify-Convergent-TV.html","2025-09-04","B","Medium","Product claims are vendor-issued and not independently benchmarked."
C045,"Upstream (formerly TheViewPoint) launched direct-sales automation for CTV publishers.","Launch announcement","2026-02-19","https://www.globenewswire.com/news-release/2026/02/19/3241147/0/en/TheViewPoint-rebrands-to-Upstream-Launches-Direct-Sales-Automation-Platform-for-CTV-Publishers.html","2026-02-19","B","Medium","Product/positioning claims are vendor-issued."
C046,"Vibe announced Series B funding and growth metrics.","$50M raise; $410M valuation; >$100M run rate (self-reported)","2025-09-30","https://www.globenewswire.com/news-release/2025/09/30/3158376/0/en/Vibe-co-Raises-50M-Series-B-to-Bring-AI-Powered-Hyper-Targeted-Advertising-to-TV.html","2025-09-30","B","Low","Private-company self-reported metrics; limited third-party verification."
C047,"MNTN and Magnite release reported most participating advertisers in live events were new to TV.","97% (self-reported)","2026-01-22","https://www.globenewswire.com/news-release/2026/01/22/3223674/0/en/MNTN-and-Magnite-Turn-Live-Streaming-s-Biggest-Moments-Into-Performance-TV-for-Growth-Brands.html","2026-01-22","B","Low","Campaign result is partner self-report and may not generalize market-wide."
